AUTHORS,ADDRESS,JOURNAL,TITLE,# PGS,YEAR,ABSTRACT,REFERENCED,Entered date,TYPE,Themes,
TAN J. M. L.,,"Bookmark Inc., Makati City",A field guide to whales and dolphins of the Philippines,,1995,,,,Book,Review,
"Aragones, L.V. and G.E. Laule (eds).",,"A Wildlife in Need (WIN) and Ocean Adventure publication. Subic Bay, Freeport. 106 p + viii."," Marine mammal stranding response manual – A guide for the rescue, rehabilitation, and release of stranded cetaceans and dugongs in the Philippines. ",,2008,,,,Book,Review,
AQUINO M. T. R.,,"Tubbataha Management Office and the CI-Phils, Quezon City, Phils, 50pp","Field guide to marine mammals and sea turtles in Palawan, Philippines",,2009,,,,Book,Review,
"ALAVA, M. N. R.; MLL DOLAR; EDNA R. SABATER; TERESA R. AQUINO; MUDJEKEEWIS D. SANTOS",,"Bureau of Fisheries and Aquatic Resources-NFRDI, Philippines",Red List Status of Marine Mammals in the Philippines,,2012,,,,Book,Conservation,
"Aragones, L.V., G.E. Laule, B.G. Espinos (eds).",,"2nd Ed. A Wildlife in Need (WIN) and Ocean Adventure publication. Subic Bay, Freeport. 141 p + iii.","Marine mammal stranding response manual – A guide for the rescue, rehabilitation, and release of stranded cetaceans and dugongs in the Philippines. ",,2013,,,,Book,Review,
"L.V. Aragones, L.J. Suarez, B.G. Espinos, G. Laule.  ",,"A Philippine Marine Mammal Stranding Network, Inc publication. ISBN 978-261-95396-0-9.",PMMSN Field guide to the whales and dolphins of the Philippines.,,2015,,,,Book,Review,
ALAVA M. N R.,,"Wildlife Conservation Society of the Philippines and Bookmark, Inc.","Cetaceans, In: Philippine Red Data Book",,1997,,,,Book Chapter,Conservation,
YAPTINCHAY A. A. S. P.,,"Wildlife Conservation Society of the Philippines and Bookmark, Inc.",Sirenian. In: Philippine Red Data Book,,1997,,,,Book Chapter,Conservation,
EVACITAS FLORENCE C.,,In: Sustainable Tourism: Challenges for the Philippines,"Impact of Whale Watching on our Cetaceams amd Coastal Populations in Bais City, Philippines",,2005,,,,Book Chapter,Sociopolitics and Governance,
"ACEBES, J. M. V.",,Unsettled Seas: Historical Perspectiv es of Fisheries Exploitation in the Indo-Pacific. Springer,A History of Whaling in the Philippines: A Glimpse of the Past and Current Distribution of Whales,,2014,,,,Book Chapter,Fisheries and Bycatch,p
"ACEBES, J. M. V.",,"Paper submitted to the convention on migratory species; second international conference on the marine mammals of Southeast Asia, 22-23 July 2002, Dumaguete City","Occurrence of humpback whales (Megaptera novaeangliae) in the Babuyan Islands, Northern Luzon, Philippines.",,2002,,,,Conference full paper,Diversity and Distribution,p
"ACEBES, J. M. V.",,Oceans Past III,"Tales of the ""Large Fish"": changing perceptions of marine mammals in the Sulu-Sulawesi Sea",,2010,,,,conference full paper,Sociopolitics and Governance,p
"ACEBES, J. M. V.",,4th Symposium on Whaling and History,Local whaling in the Philippines: community adaptations and resilience,,2013,,,,conference full paper,Fisheries and Bycatch,p
"ARAGONES, LEMNUEL V.; STEPHEN LEATHERWOOD; MARIA LOUELLA DOLAR and CYNTHIA HILL.","University of Philippines at Los Banos, College, Laguna, 4013 Philippines.","In: Ninth Biennial Conference on the Biology of Marine Mammals. 5-9 December, Chicago, IL. p.2. 1991. Abstract only.",Species composition of Philippine marine mammal fauna.,,1991,,,,conference presentation,Diversity and Distribution,p
"DOLAR, MARIA LOUELLA L.; STEPHEN LEATHERWOOD; LEMNUEL V. ARAGONES and CYNTHIA L. HILL.","Marine Laboratory, Silliman University, Dumaguette City, 6200 Philippines.","In: Ninth Biennial Conference on the Biology of Marine Mammals. 5-9 December, Chicago, IL. p.18. 1991. Abstract only.","Directed fisheries for whales and dolphins in Palawan, the Southern Visayas and the Mindanao Sea, Philippines.",1,1991,,,03-Jul-07,Conference presentation,Fisheries and Bycatch,p
"DOLAR, M. L.; C. WOOD; M. ALAVA and S. LEATHERWOOD.","Scripps Institution of Oceanography, La Jolla, CA 92093-0204.","In: Tenth Biennial Conference on the Biology of Marine Mammals. 11-15 November, Galveston, TX. p.42. 1993. Abstract only.",Incidental takes of cetaceans in a Philippine indigenous driftnet fishery.,,1993,,,,conference presentation,Fisheries and Bycatch,p
YAPTINCHAY A. A. S. P.,,Proceedings of a symposium-workshop on marine mammal conservation. UPMSI 1994,Dugongs in the Philippines,,1994,,,,conference presentation,Diversity and Distribution,p
"ALAVE, MOONYEEN NIDA R. and MARIA LOUELLA L. DOLAR.","Marine Laboratory, Silliman University, Dumaguete City 6200, Philippines.","In: Eleventh Biennial Conference on the Biology of Marine Mammals. 14-18 December 1995, Orlando, FL. p.2. 1995. Abstract only.","Resources utilization of marine mammals in Visayas and Mindanao, Philippines.",1,1995,,,11-Dec-07,Conference presentation,Fisheries and Bycatch,p
"DOLAR, MA. LOUELLA L. and WILLIAM PERRIN.","Silliman University Marine Laboratory, Dumaguete City, 6200, Philippines.","In: Eleventh Biennial Conference on the Biology of Marine Mammals. 14-18 December 1995, Orlando, FL. p.31. 1995. Abstract only.",Line-transect surveys of cetacean abundance: More cost-effective methods for developing countries.,,1995,,,,conference presentation,NA,p
DOLAR M. L. L.; W. F. PERRIN,,"International Marine Biological Research Institute, Kamogawa, Japan. 6: 9-23",Preliminary results on the distribution and abundance of cetaceans in the Philippines,,1996,,,,conference presentation,Diversity and Distribution,p
"DOLAR, M. L.; G. L. KOOYMAN and P. SUAREZ.","Scripps Institution of Oceanography, La Jolla, California 92093.","In: The World Marine Mammal Science Conference. 20-24 January, Monaco. p.35. 1998. Abstract only. (=Twelth Biennial Conference on the Biology of Marine Mammals)",Somatic and developmental variation in myoglobin concentration in two pelagic cetaceans.,,1997,,,,conference presentation,Biology and Ecology,p
"PERRIN, W. F.; M. L. L. DOLAR and D. ROBINEAU.","Southwest Fisheries Science Center, NMFS, NOAA, P.O. Box 271, La Jolla, CA 92038.","In: The World Marine Mammal Science Conference. 20-24 January, Monaco. p.106. 1998. Abstract only. (=Twelth Biennial Conference on the Biology of Marine Mammals)",Spinner dolphins (Stenella longirostris) of the western Pacific and southeast Asia: Pelagic and shallow-water forms.,,1997,,,,conference presentation,Taxonomy and Systematics,p
"DOLAR, M. LOUELLA.","Scripps Institution of Oceanography, 6363 Lakewood St., San Diego, California 92122.","In: Thirteen Biennial Conference on the Biology of Marine Mammals. 28 November - 3 December, Wailea, Maui, HI. p.48-49. 1999. Abstract only.","Comparative distribution, abundance and feeding ecology of two dolphin species in the Philippines.",2,1999,,,07-Jan-09,Conference presentation,Diversity and Distribution,p
"Yaptinchay, AA.",,"Paper presented at the 13th conference on the biology of marine mammals, November 28 to December 3, Maui.",New humpback whale wintering ground in the Philippines.,,1999,,,,conference presentation,Diversity and Distribution,p
"ACEBES, J. M. V.",,"Paper presented at the 14th conference on the biology of marine mammals, November 28 to Decmber 3, Vancouver.","Photographic identification of humpback whales (Megaptera novaeangliae) in the Babuyan Islands, Northern Luzon, Philippines.",,2001,,,,conference presentation,Biology and Ecology,p
ALAVA M. N. R.,,from Report of the 2nd Workshop on the Biology and Conservation of Small Cetaceans and Dugongs of Southeast Asia. CMS Tech Series Pub no. 9,WWF cetacean-fisheries interaction assessment and conservation management in the Philippines,,2002,,,,conference presentation,Conservation,p
"BAUTISTA, A. L.",,from Report of the 2nd Workshop on the Biology and Conservation of Small Cetaceans and Dugongs of Southeast Asia. CMS Tech Series Pub no. 9,Cetaceans in the Philippines: an update for 2002,,2002,,,,conference presentation,Diversity and Distribution,p
"BYRNE, R.",,from Report of the 2nd Workshop on the Biology and Conservation of Small Cetaceans and Dugongs of Southeast Asia. CMS Tech Series Pub no. 9,"The (IUCN Critically Endangered) Dugongs of Hinatuan, Surigao del Sur, Mindanao, Philippines ",,2002,,,,conference presentation,Conservation,p
GAUDIANO J. P.; M. N. R. ALAVA,,from Report of the 2nd Workshop on the Biology and Conservation of Small Cetaceans and Dugongs of Southeast Asia. CMS Tech Series Pub no. 9,"Rapid assessment of cetacean-fisheries interaction in priority sites of WWF-Philippines: a preliminary report, Document 28.",,2002,,,,conference presentation,Fisheries and Bycatch,p
SMITH B. D.; ISABEL BEASLEY; M BUCCAT; V CALDERON; R EVINA; J. L. VALLE; A. CADIGAL; E. TURA; Z. VISITACION,,from Report of the 2nd Workshop on the Biology and Conservation of Small Cetaceans and Dugongs of Southeast Asia. CMS Tech Series Pub no. 9,"Status, ecology and conservation of Irrawaddy dolphins (Orcaella brevirostris) in Malampaya sound, Palawan, Philippines.",,2002,,,,Conference presentation,Conservation,p
"YAMAGUCHI, M.; J. M. ACEBES and Y. MIYAMURA.","Ogasaswara Marine Center, Byobudani Chichi-jima, Ogasaware, Tokyo 100-21, Japan.","SEAMAM II - Second International Conference on the Marine Mammals of Southeast Asia. p.36. Silliman University, Dumaguete City, Philippines. July 23-23, 2002. Abstract only.","The breeding ground distribution of the humpback whales (Megaptera novaeangliae) in the western North Pacific and their trans-movements among the Ogasawara Islands, the Ryukyu Islands and the Babuyan Islands, Philippines.",1,2002,,,01-Oct-06,Conference presentation,Biology and Ecology,p
"ACEBES, J. M. V.; LISSA AIREEN R. LESACA.",,"Regional Conference on Environment and Development, The Sierra Madre Mountain Range: Global Relevance, Local Realities. Cabagan, Isabela, Philippines.","Research and conservation of humpback whales and other cetacean species in the Babuyan Islands, northern Luzon.",,2003,,,,conference presentation,Conservation,p
"ACEBES, JO MARIE V.; ANDREA LEONOR BAUTISTA; TADASU K. YAMADA; LOUELLA DOLAR and WILLIAM F. PERRIN.","School of Geography & the Environment, Centre for the Environment, University of Oxford, South Parks Road, Oxford OX1 3QY, U.K.","In: Sixteenth Biennial Conference on the Biology of Marine Mammals. 12-16 December, San Diego, CA. p.8. 2005. Abstract only.","Stranding of Indopacetus in Davao, Philippines.",1,2005,,,21-Nov-06,Conference presentation,Diversity and Distribution,p
DOLAR M. L. L.; HILCONIDA P CALUMPONG;WILLIAM F. PERRIN; JANET S. ESTACION.,,"Paper presented at the 16th biennial conference on the biology of marine mammals, San Diego, Ca.",Rediscovery of dugongs in the southern Visayan Sea.,,2005,,,,conference presentation,Diversity and Distribution,p
SABATER E. R.,,"Paper presented at the 16th biennial conference on the biology of marine mammals, San Diego, Ca.","Cetaceans of the Bohol Marine Triangle Area, Bohol, Philippines: assessment and monitoring",,2005,,,,conference presentation,Diversity and Distribution,p
"Dolar, M. L. L., Ma. Theresa R. Aquino, W.F. Perrin, and M.N.R. Alava. 2007.  ",,"Paper presented at the The 17th Biennial conference on the Biology of Marine Mammals, Capetown, South Africa. Abstract.","Preliminary Results of the Cetacean Survey in Balabac Strait, Philippines.",,2007,,,,Conference presentation,Fisheries and Bycatch,p
MATILLANO M. V.,,FIMFS presentation,"Monitoring of Irrawadyd dolphin (Orcaella brevirostris) by-catch and mortality in Malampaya Sound, Tay tay, Palawan (2001-2005)",,2007,,,,Conference presentation,Conservation,p
TAGARINO A.; J. M. DACLAN,,"Paper presented at the 9th PAMS National Symposium, Iloilo City","Recent sightings of possible beaked whales, (Indopacetus pacificus) in the Sulu Sea, Philippines",,2007,,,,conference presentation,Conservation,p
DOLAR M. L. L.; MARIA TERESA R. AQUINO; EDNA R. SABATER; E. F. SOLIS; WILLIAM F. PERRIN,,"Paper presented at the 18th biennial conference on the biology of marine mammals, Quebec, Canada","Preliminary results on the ecology and distribution of a newly discovered population of irrawaddy dolphins in Iloilo Strait, Philippines",,2009,,,,conference presentation,Diversity and Distribution,p
LUCERO R.,,"Paper presented at the 5th SEASTAR 2000 and Asian Bio-logging science, p.28",Population estimate and foraging niche of dugongs in Davao Gulf,,2009,,,,conference presentation,Biology and Ecology,p
"ACEBES, J. M. V.; ALESSANDRO PONZO; EDNA SABATER; JOSHUA NEIL SILBERG; KRISTINA A. PAHANG; CHRISTINE LOUISE P. EMATA; JEAN ASUNCION UTZURRUM",,"Paper presented at the 19th Biennial conference on fthe biology of marine mammals, Tampa Florida 2011","The return of rorquals in the Bohol Sea, Philippines",,2011,,,,conference presentation,Diversity and Distribution,p
"PONZO, ALESSANDRO; KRISTINA A. PAHANG; JOSH SILBERG; GARY HASKINS; CHRISTINE LOUISE P. EMATA; JO MARIE ACEBES",,"Paper presented at the 19th Biennial conference on fthe biology of marine mammals, Tampa Florida 2011","Presence and distribution of cetaceans in the northeastern Bohol Sea, Philippines: Identification of a new hotspot",,2011,,,,conference presentation,Diversity and Distribution,p
SILBERG J. N.; ALESSANDRO PONZO; KRISTINA A. PAHANG; CHRISTINE L. EMATA; GARY HASKINS; JO MARIE ACEBES,,"Paper presented at the 19th Biennial conference on fthe biology of marine mammals, Tampa Florida 2011","Site-fidelity of melon-headed whales (Peponocephala electra) in the northern Bohol Sea, Philippines",,2011,,,,conference presentation,Biology and Ecology,p
Dolar M. L. L. ,," The 63rd Annual Tuna Conference: Natural and Anthropogenic Effects on Highly Migratory Fish Population, Lake Arrowhead, California, 21-24 May 2012. Abstract.",Some Perspective on Marine Mammal by-Catch in Tuna Fisheries in Developing Island Nations.,,2012,,,,Conference presentation,Fisheries and Bycatch,p
"ACEBES, J. M. V.",,"Paper presented at the 20th biennieal conference on the biology of marine mammals, Dunedin, New Zealand","Small cetacean diversity in the Babuyan Islands, Northern Luzon, Philippines.",,2013,,,,conference presentation,Diversity and Distribution,p
"NAKAGUN, SHOTARO; JMV ACEBES",,"Paper presented at the 20th biennieal conference on the biology of marine mammals, Dunedin, New Zealand","Steno bredanensis in the Babuyan Islands, Northern Luzon, Philippines",,2013,,,,conference presentation,Diversity and Distribution,p
"TIONGSON, ANGELICO JOSE C.; EDNA R. SABATER",,"Paper presented at the 20th biennieal conference on the biology of marine mammals, Dunedin, New Zealand",Patterns of mixed-species associations of small cetaceans in the Northwest Bohol Sea,,2013,,,,conference presentation,Biology and Ecology,p
"ACEBES, J. M. V.",,"Paper presented at the 3rd International Conference on Marine Mammal Protected Areas. Glenelg, Adelaide",Engaging coastal communities: making whaling heritage work for cetacean science and conservation in developing countries,,2014,,,,conference presentation,Conservation,p
"ACEBES, J. M. V.",,"Paper presented at the 52nd Annual meeting of the association for tropical biology and conservation. Honolulu, Hawaii.",Challenges of ecosystem-based approach to conservation for cetaceans in developing countires,,2015,,,,conference presentation,Conservation,p
"ACEBES, J. M. V.; SHOTARO NAKAGUN",,"Paper presented at the 21st Biennial conference on the biology of marine mammals. San Francisco, USA.","Incidence of nodular skin lesions on humpback whales (Megaptera novaeangliae) wintering off northern Luzon, Philippines",,2015,,,,conference presentation,Health and Ecotoxicology,p
"DE LA PAZ, MANUEL EDUARDO L.; JENELLE SENORON; EDNA R. SABATER; LOUELLA DOLAR",,"Paper presented at the 21st Biennial conference on the biology of marine mammals. San Francisco, USA.","Site fidelity of Irrawaddy dolphins (Orcaella brevirostris) in the coastal waters of Bago and Pulupandan, Negros Occidental, Philippines.",,2015,,,,conference presentation,Biology and Ecology,p
"DIVINAGRACIA, D.; SABATER E.R.; DOLAR, M.L.L",,"Poster presented at the 21st Biennial Conference on the Biology of Marine Mammals. San Francisco, California",Identification of fish species using otoliths in Irrawaddy dolphin’s stomach content,,2015,,,,Conference Presentation,Biology and Ecology,p
REBOTON CLARISSA,,"Poster presented at the 21st Biennial Conference on the Biology of Marine Mammals. San Francisco, California",How much do local communities know about their Irrawaddy dolphin?,,2015,,,,Conference Presentation,Sociopolitics and Governance,p
"TIONGSON, ANGELICO JOSE C.; LESZEK KARCZMARSKI",,"Paper presented at the 21st Biennial conference on the biology of marine mammals. San Francisco, USA.","Indo-Pacific bottlenose dolphins (Tusriops aduncus) in Tanon Strait, central Philippines: Early research findings and health concerns",,2015,,,,conference presentation,Diversity and Distribution,p
"ACEBES, J. M. V.",,"Paper presented at the 10th International Conference on Philippine Studies, Dumaguete City. PH","In search of the ""Big Fish"": Hunting for large marine vertebrates in the Bohol Sea.",,2016,,,,conference presentation,Fisheries and Bycatch,p
"ACEBES, J. M. V.",,"Paper presented at the IMCC4, Newfoundland.",Diverging perceptions on human-use of large marine vertebrates and its impacts on conservation policies.,,2016,,,,conference presentation,Sociopolitics and Governance,p
"CASIPE, KIMBERLY P.; KARL ELVIS S. ESPINOSA; CRYSTYLL JOANE M. JARABELO; MANUEL EDUARDO L. DE LA PAZ",,Sylvatrop: The Technical Journal of Philippine Ecosystems and Natural Resources,"Foraging behavior association between Irrawaddy dolphins (Orcaella brevirostris) and tidal net fisheries in the coastal waters of Pulupandan, Negros Occidental, Philippines.",,2016,,,,conference presentation,Biology and Ecology,p
"DE LA PAZ, MANUEL EDUARDO L.; MACHIR GLIB LIRAZAN; KIMBERLY CASIPE; ERICSON VINCE RAY D. YULO; ARI BAUTISTA-BARCELONA",,Paper presented at the 48th FIMFS,"Preliminary observations of cutaneous nodules in Irrawaddy dolphins (Orcaella brevirostris) in Guimaras Strait, Philippines.",,2016,,,,conference presentation,Health and Ecotoxicology,p
"ACEBES, J. M. V; JOSHUA NEIL SILBERG; EDNA R. SABATER; ANGELICO JOSE C. TIONGSON; ALESSANDRO PONZO; CHRISITNE LOUISE P. EMATA; KRISTINA A. PAHANG; JEAN ASUNCION UTZURRUM; DIANA MARIA MARGARITA VERDOTE; PATRICIA DUMANDAN",,"Paper presented at the 22nd Biennial conference on the biology of marine mammals, Halifax, Canada 2017",First confirmed sightings of blue whales (Balaenoptera musculus) in the Philippines since the 19th century,,2017,,,,conference presentation,Diversity and Distribution,p
"TIONGSON, ANGELICO JOSE C.; LESZEK KARCZMARSKI",,"Paper presented at the 22nd Biennial conference on the biology of marine mammals, Halifax, Canada 2017","Spatio-behavioural habitat partitioning by two sympatric island-associated dolphins in Tanon Strait, central Philippines",,2017,,,,conference presentation,Biology and Ecology,p
"DE LA PAZ, MANUEL EDUARDO L.; ROMEO G. TERUEL; ARI BAUTISTA-BARCELONA; MARISSA QUEZON; JESSICA O. PACALIOGA; VIRGILIO AGUILAR; ROWENA BANES",,Paper presented at the 5h International Marine Conservation Congress,Irrawaddy dolphins as flagship species for wetland conservation,,2018,,,,conference presentation,Conservation,p
"ACEBES, J. M. V.; ANDREA LEONOR BAUTISTA-BARCELONA; TADASU YAMADA; MUDJEKEEWIS D. SANTOS; MLL DOLAR; JOSE MA. LORENZO TAN",,"Paper presented at the 15th National symposium on Marine Science, Banga, Aklan.",Stranding of Longman's beaked whale (Indopacetus pacificus) in the Philippines,,2019,,,,conference presentation,Diversity and Distribution,p
"ACEBES, J. M. V.; ARI BAUTISTA-BARCELONA; AA YAPTINCHAY",,"Paper presented at the Scientific studies of marine mammals in Asia, Tokyo, Japan",Marine mammal specimen collection and management in the Philippines.,,2019,,,,conference presentation,Sociopolitics and Governance,p
"GARDNER, TIMOTHY; ANGELICO TIONGSON; JO MARIE ACEBES; SHOTARO NAKAGUN; ELSON ACA",,"Paper presented to the 3rd world marine mammal conference in Barcelona, Spain 2019.","Spatial and temporal distribution of humpback whales (Megaptera novaeangliae) in the Babuyan Marine Corridor, northern Luzon, Philippines",,2019,,,,conference presentation,Biology and Ecology,p
"HANF, DANIELLA; FABIEN VIVIER; LORRAINE ALPASCA; ALESSANDRO PONZO.",,"Paper presented to the 3rd world marine mammal conference in Barcelona, Spain 2019.","Collaborative evaluation of a booming spinner dolphin watching industry in the Philippines, using social and dolphin behavioural surveys to inform policy development",,2019,,,,conference presentation,Sociopolitics and Governance,p
TRONO R. B.; R.T.R. DEVEYRA; J.A.M. PALMA; A.A.S.P. YAPTINCHAY; A. S. RYE III,,"PCP, DENR - Toba Aquarium Joint Project, unpublished report",Sea cow (Dugong dugon) research and informtaion campaign project in Palawan.,,1993,,,,Grant Report,Conservation,
ALAVA M. N. R.,,Progress report submitted to DA-BFAR,"Sogod Bay larger marine vertebrates: whales, dolphins, whale sharks and sea turtles",,1995,,,,Grant Report,Diversity and Distribution,
KATAOKA T.; T. MORI; Y. WAKAI; J. PALMA; A. A. YAPTINCHAY; R. DEVEYRA; R. TRONO,,"from Toba Aquarium, 3-3-6 Toba, Mie, Japan","Dugongs of the Philippines: A report of the joint dugong research and conservation program, Aquarium and the Pawikan Conservation Project, May 1995.",,1995,,,,Grant Report,Conservation,
"Aquino, MTR. ",,"  Clinical Report submitted to the Crocodile Farming Institute, Palawan, Philippines.",Necropsy Report on a Pygmy Killer Whale (Feresa attenuata).,,1996,,,,Grant Report,,
"PERRIN, W. F. and M. L. L. DOLAR.",------,IBI REPORTS 6:25-33. 1996.,"Preliminary results on spinner dolphins, Stenella longirostris, from the Philippines.",9,1996,,,,Grant Report,Diversity and Distribution,
DOLAR M. L. L.,,"Report submitted to WWF-US, 54pp.",A survey on cetaceans and fishery interactions in northwestern Sulu Sea and Malampaya Sound.,,1999,,,,Grant Report,Fisheries and Bycatch,
"ACEBES, J. M. V.; L. R. LESACA; A.A. YAPTINCHAY.",,Unpublished report submitted to WWF-Philippines,"Humpback whale (Megaptera novaeangliae) research and conservation project in the Babuyan Islands, Philippines.",,2001,,,,Grant Report,Conservation,
"VAN LAVIEREN, H. ",,"Plan Philippines NSMNP-CP, Cabagan.",Marine mammals and endangered species survey report: Northern Sierra Madre Natural Park.,,2001,,,,Grant Report,Diversity and Distribution,
AQUINO M. T. R.,,A Technical Report submitted to SAGUDA-Palawan,Perception and knowledge of cetaceans in some fisherfolk communities in Puerto Princesa City.,,2004,,,,Grant Report,Sociopolitics and Governance,
AQUINO M. T. R.; V CALDERON JR,,A report submitted to the Tubbataha Management Office,Species inventory of the cetacean populations in the waters surrounding Tubbataha Reefs (23 March-3 April 2004 and 12-25 April 2004),,2004,,,,Grant Report,Diversity and Distribution,
DOLAR M. L. L.,,"A Technical Report submitted to Conservation International-Philippines, 60pp","Marine mammals of the marine biodiversity conservation corridors in the Philippines: Verde Island Passage, Balabac Strait, and the Cagayan Ridge.",,2006,,,,Grant Report,Diversity and Distribution,
GONZALES J.; M. V. MATILLANO,,Report submitted to WWF-Philippines,Study on the CPUE of fishing gears in Malampaya Sound associated with Irrawaddy dolphin mortality,,2007,,,,Grant Report,Fisheries and Bycatch,
DOLAR M. L. L.,,"Technical report submitted to Ocean Park Conservation Foundation, Hong Kong, 26pp",Ecology and conservation of two coastal cetacean species: tursiops aduncus and Stenella longirostris roseiventris.,,2009,,,,Grant Report,Conservation,
DOLAR M. L. L.,,"Progress report submitted to Ocean Park Conservation Foundation, Hong Kong, 15pp","Survey and conservation of the Irrawaddy dolphin in the Visayas, Philippines",,2009,,,,Grant Report,Conservation,
"Quimpo F. T. , FG Bandigan, DG Bacaltos, A Viloria, D Torres, and AA Yaptinchay.  2012.    ",,Preliminary report submitted to CMS.  ,"Assessment of Dugong Distribution, Habitats, and Risks from Fisheries in Selected Sites in Mindanao, Philippines.",,2012,,,,Grant Report,Diversity and Distribution,
KARCZMARSKI L.; A. J. C. TIONGSON,,"Final Report submitted to Ocean Park Conservation Foundation, Hong Kong 29pp","Conservation by design: Establishing a framework for delphinid conservation in a tropical protected seascape, Tanon Strait, the Philippines",,2016,,,,Grant Report,Conservation,
KARCZMARSKI L.,,"Final report submitted to Ocean Park Corporation Hong Kong, Research Department 12pp","Small cetacean conservation initiative: population assessment and conservation status of indo-pacific bottlenose dolphins across habitats and regions on asia-pacific and beyond Phase-1: Tanon Strait, Philippines",,2017,,,,Grant Report,Conservation,
TERUEL R.; M. E. L. DE LA PAZ; J. PACALIOGA; V. AGUILAR; M. QUEZON,,Terminal report for PAME local partnerships may 2015- february 2017,Conservation and management enhancement of Irrawaddy Dolphin Habitats in Negros Occidental,,2017,,,,Grant Report,Conservation,
TIONGSON A. J. C.,,Final report submitted to Vallehermoso LGU,Report on the baseline assessment for cetaceans in the waters off Vallehermosos and environs,,2017,,,,Grant Report,Conservation,
UNIVERSITY OF ST. LA SALLE,,Terminal report for PAME local partnerships may 2015- february 2017,Conservation and management enhancement of Irrawaddy Dolphin Habitats in Negros Occidental,,2017,,,,Grant Report,Conservation,
DOLAR M. L. L.; COLIN WOOD,,Enviroscope,Survey of marine mammals in the central Visayas and Mindanao,,1993,,,,Grey Literature,Diversity and Distribution,
"LEATHERWOOD, STEPHEN; M. LOUELLA L. DOLAR; COLIN J. WOOD and CYNTHIA L. HILL.",------,WHALEWATCHER 28(1):16-21. 1994.,A sea full of jewels: Whales and dolphins of the Philippines.,6,1994,No abstract,,,Grey Literature,Diversity and Distribution,
"BAGARINAO, T. U.",,AQD Matters,Irrawaddy dolphin in Dumangas,,2005,,,,Grey Literature,Diversity and Distribution,
AQUINO M. T. R.,,NEF Newsletter,"Cetacean species inventory in the northwestern waters of Palawan, Philippines",,2006,,,,Grey Literature,Diversity and Distribution,
"LEATHERWOOD, STEPHEN; M. LOUELLA L. DOLAR; COLIN J. WOOD; LEMNUEL V. ARAGONES and CYNTHIA L. HILL.",,Silliman Journal 36(1):65-75,Marine mammal species confirmed from Philippine waters.,,1992,,,,Journal,Diversity and Distribution,p
